ID pot,Time (days),Initial CO2 (ppm),Final CO2 (ppm),Time final (h)
56,35,495.783245858619,572.876176808266,24.14
56,49,545.822430703625,976.115095948827,24.43
56,63,526.33987457873,572.17648564481,24.21
56,77,643.182435299109,601.369622401358,22.82
56,91,538.640555302685,594.186162949477,24.73
56,105,429.523747241069,478.040235156771,26.13
48,7,553.610796330871,915.027523903262,22.86
48,14,484.394678492239,751.886490338929,25.2
48,21,500.337334689725,717.898678414097,25.26
48,35,530.732819419387,748.719952435624,24.14
48,49,540.190959488273,701.977441364606,24.43
48,63,525.880679151913,736.362911138603,24.21
48,77,682.787696224014,726.371489181163,22.82
48,91,618.76449704142,790.572781065089,24.73
48,105,437.329927245974,609.796114076051,26.13
57,7,604.565841383229,922.759438273341,22.86
57,14,487.281438074121,718.870810896421,25.2
57,21,489.51478467277,692.538775330397,25.26
57,35,501.873298343448,722.968459898311,24.14
57,49,571.483454157783,701.68908315565,24.43
57,63,516.10682138134,712.102555351734,24.21
57,77,584.475731862537,686.928807806534,22.82
57,91,533.301593081475,561.936231224397,24.73
57,105,495.214379138396,602.614659773182,26.13
38,7,550.624238980437,635.959962035996,22.86
38,14,491.366487171365,549.582768451061,25.2
38,21,500.378043404544,500.067612334802,25.26
38,35,493.169156962441,532.845038543546,24.14
38,49,493.237057569296,535.534626865672,24.43
38,63,528.921163772877,524.014589821253,24.21
38,77,535.80644887569,575.623419601188,22.82
38,91,599.883568502503,560.568730086482,24.73
38,105,430.86634513202,468.786315877252,26.13
19,7,607.53892361393,691.080409870641,22.86
19,14,498.948321191004,528.449936648717,25.2
19,21,475.636512377077,460.998079295154,25.26
19,35,528.755109070035,561.179022470067,24.14
19,49,530.197441364606,561.04460554371,24.43
19,63,560.906701932511,515.031014035237,24.21
19,77,653.396478574459,657.33182011031,22.82
19,91,688.391533909877,647.880655439235,24.73
19,105,433.696068012752,460.548198799199,26.13
16,7,518.323581459534,622.592660292463,22.86
16,14,492.301583782072,543.391479252455,25.2
16,21,481.029035266192,479.45327753304,25.26
16,35,492.860300147614,559.582753813351,24.14
16,49,586.204093816631,645.78289978678,24.43
16,63,544.825690030289,514.217652830511,24.21
16,77,643.860118795079,576.794739075095,22.82
16,91,505.480382339554,551.32171142467,24.73
16,105,454.387394751901,489.501084056037,26.13
58,7,535.499245068593,665.296013779528,22.86
58,14,508.504513778904,564.711466582198,25.2
58,21,513.431027466938,387.997136563877,25.26
58,35,511.115401016894,559.681326882073,24.14
58,49,515.657654584222,680.98315565032,24.43
58,63,569.516957467685,544.189241073333,24.21
58,77,583.752991090369,567.718201103097,22.82
58,91,590.878743741466,568.974692762858,24.73
58,105,448.965094416742,495.676075717145,26.13
22,7,579.465443623671,4733.08884631609,22.86
22,14,498.587567310738,4471.30856826101,25.2
22,21,485.632926415734,3915.30242290749,25.26
22,35,517.054756437592,3031.37230605216,24.14
22,49,539.412665245203,2318.07812366738,24.43
22,63,554.165095345762,2178.344524551,24.21
22,77,649.244548154434,2371.87806533729,22.82
22,91,530.111424670005,2502.88620846609,24.73
22,105,430.262691081501,3069.69225316878,26.13
29,7,538.379560029223,2816.94347581552,22.86
29,14,518.702771618625,3349.58186569528,25.2
29,21,472.764513394371,3698.47711894273,25.26
29,35,488.133368869936,2722.86549122519,24.14
29,49,485.778251599147,2597.2352238806,24.43
29,63,567.620408685636,2627.55402926496,24.21
29,77,598.688417479847,2243.36219770895,22.82
29,91,557.290395994538,2372.94210286755,24.73
29,105,451.281451810676,1978.14726484323,26.13
63,7,577.680055199286,4621.19354611924,22.86
63,14,516.799366487171,4015.59211276528,25.2
63,21,491.677950152594,1785.76214977974,25.26
63,35,495.849548958504,3139.41899294735,24.14
63,49,551.546652452026,2872.52942430704,24.43
63,63,541.632652190606,2881.95870483341,24.21
63,77,534.400763682647,2655.49635129402,22.82
63,91,611.196995903505,2827.15361857078,24.73
63,105,496.843987574593,2060.20959806538,26.13
62,7,597.130448900073,7328.54195374016,22.86
62,14,498.830471967057,4672.78025023757,25.2
62,21,481.829323499491,4087.03992070485,25.26
62,35,517.694866327702,3341.17830900443,24.14
62,49,523.688784648188,2487.55240938166,24.43
62,63,546.255492513118,3157.34320208182,24.21
62,77,542.868773865083,3229.16856173101,22.82
62,91,579.035320892126,3239.60969503869,24.73
62,105,456.706490640072,2972.13192128085,26.13
65,7,522.915869794626,651.541953740158,22.86
65,14,477.88074121001,555.498432055749,25.2
65,21,483.075559511699,510.317964757709,25.26
65,35,518.385525668361,571.096941118583,24.14
65,49,523.335479744137,609.952068230277,24.43
65,63,566.776204086856,522.080030715413,24.21
65,77,536.615825201527,579.675265167586,22.82
65,91,578.602776513428,661.381929904415,24.73
65,105,451.136229870024,489.741244162775,26.13
10,7,552.912801363747,701.473460348706,22.86
10,14,482.206905289832,623.961973392461,25.2
10,21,483.552153272296,557.473550660793,25.26
10,35,538.079473511563,622.425774971297,24.14
10,49,537.24908315565,668.782985074627,24.43
10,63,546.258990657395,596.452412439742,24.21
10,77,451.998769622401,559.906957997454,22.82
10,91,598.945562130178,687.506964041875,24.73
10,105,430.205100956429,503.092895263509,26.13
67,7,964.081094244663,1339.68470542745,22.86
67,14,511.900855242319,850.249683243586,25.2
67,21,485.00480671414,759.336766519824,25.26
67,35,486.816163687059,780.723585369854,24.14
67,49,535.585202558635,755.803795309168,24.43
67,63,521.835416577791,668.360138219359,24.21
67,77,637.758421722529,730.17055579126,22.82
67,91,558.333136094675,745.378379608557,24.73
67,105,456.246873211804,560.085682121414,26.13
66,7,526.542592742918,914.30385264342,22.86
66,14,485.706683560342,843.489467849224,25.2
66,21,480.700796880298,840.865718061674,25.26
66,35,510.181515499426,781.159873708381,24.14
66,49,519.561492537313,677.537313432836,24.43
66,63,512.318459110106,649.477112751163,24.21
66,77,700.92706830717,731.446499787866,22.82
66,91,601.448611743286,814.989622212107,24.73
66,105,500.873334423281,629.99341227485,26.13
24,7,522.957090672944,579.402066929134,22.86
24,14,493.719971491923,492.431913208743,25.2
24,21,472.538631739573,380.293189427313,25.26
24,35,546.260447761194,519.58987206823,24.14
24,49,504.927974413646,711.429765458422,24.43
24,63,536.025638837934,506.61993942238,24.21
24,77,559.983029274502,492.182689859992,22.82
24,91,560.803550295858,525.516932180246,24.73
24,105,432.265756560124,447.329719813209,26.13
45,7,550.519814920042,589.717871203599,22.86
45,14,482.624516946468,516.666281279696,25.2
45,21,483.452848423194,441.013295154185,25.26
45,35,528.122092832541,515.103903559127,24.14
45,49,548.1678891258,524.708443496802,24.43
45,63,622.163431594215,493.884219956487,24.21
45,77,559.597496817989,557.306745863386,22.82
45,91,590.835002275831,504.290896677287,24.73
45,105,459.022357557427,460.522473315544,26.13
5,7,513.195551586979,588.592097862767,22.86
5,14,489.01504592968,500.282815964523,25.2
5,21,489.309359104781,463.462220264317,25.26
5,35,496.132204362801,513.738445136953,24.14
5,49,570.977825159915,547.577910447761,24.43
5,63,594.635339789258,518.468196749285,24.21
5,77,686.280101824353,530.87089520577,22.82
5,91,642.882567137005,669.626627218935,24.73
5,105,434.277119267555,447.073048699133,26.13
13,7,491.418150823931,577.367864173228,22.86
13,14,478.831960722205,498.406461830852,25.2
